question,correct_answer,possible_answers,type
What is the capital of Tartu County?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",capital
Who was the producer of Dirty?,Butch Vig,"[""Butch Vig"", ""Bryan David \""Butch\"" Vig"", ""Bryan David Vig"", ""Bryan Vig""]",producer
Who is the father of Sebastian Asch?,Roland Asch,"[""Roland Asch""]",father
Who was the producer of (I Can't Get No) Satisfaction?,Andrew Loog Oldham,"[""Andrew Loog Oldham""]",producer
Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer
Who was the director of Back to You?,James Burrows,"[""James Burrows"", ""James Edward Burrows""]",director
What is Bae Geu-rin's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who is the author of Memory?,Poul Anderson,"[""Poul Anderson"", ""Poul William Anderson"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge"", ""Petronius Arbiter Kingsley"", ""P. A. Kingsley""]",author
What is the capital of Zavkhan Province?,Uliastai,"[""Uliastai"", ""Uliastay"", ""Javhlant""]",capital
Who was the composer of The Sanguine Fan?,Edward Elgar,"[""Edward Elgar"", ""Edward William Elgar""]",composer
Who was the director of The Heroes?,Wu Ma,"[""Wu Ma"", ""Ng Ma""]",director
Who is the author of Utopia?,Thomas More,"[""Thomas More"", ""Sir Thomas More"", ""Saint Thomas More"", ""Thomas Morus"", ""Thomas, Saint More"", ""Thomas, Sir More""]",author
What genre is Elizabeth Davis?,Riot grrrl,"[""Riot grrrl""]",genre
Who was the screenwriter for One Life?,Alexandre Astruc,"[""Alexandre Astruc""]",screenwriter
Who was the director of Always?,Steven Spielberg,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",director
What is the religion of Catholic Theological Union?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
Who was the director of Execution?,Domenico Paolella,"[""Domenico Paolella"", ""Paolo Dominici"", ""Paul Fleming""]",director
What genre is Max Payne 3?,third-person shooter,"[""third-person shooter"", ""TPS""]",genre
What is Gap the capital of?,Hautes-Alpes,"[""Hautes-Alpes""]",capital of
What genre is Value for Money?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What sport does Hwang Byung-ju play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What sport does Jakob Friis-Hansen play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the composer of Artaserse?,Leonardo Vinci,"[""Leonardo Vinci""]",composer
What color is chalk?,white,"[""white"", ""W"", ""color white"", ""#FFFFFF""]",color
What genre is Caprica?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
Who was the director of The Dub?,James Cruze,"[""James Cruze""]",director
Who was the screenwriter for The Church?,Franco Ferrini,"[""Franco Ferrini"", ""Michele Soavi"", ""Soavi, Michele"", ""Dardano Sacchetti"", ""Dario Argento"", ""Sirio Bernadotte""]",screenwriter
Who is the author of Chibi Maruko-chan?,Momoko Sakura,"[""Momoko Sakura""]",author
What is The Valley the capital of?,Anguilla,"[""Anguilla"", ""ai"", ""🇦🇮""]",capital of
Who is the mother of Licinia Eudoxia?,Aelia Eudocia,"[""Aelia Eudocia"", ""Athenaïs"", ""Eudociae"", ""Eudocia"", ""Aelia Licinia Eudocia"", ""Athenaïs-Eudokia of Athens"", ""Eudocia Augusta""]",mother
Who was the composer of Chasing?,Gemma Hayes,"[""Gemma Hayes""]",composer
Who was the composer of Nerone?,Arturo Toscanini,"[""Arturo Toscanini"", ""Arrigo Boito"", ""Tobia Gorrio"", ""Arrigo Enrico Boito"", ""Enrico Giuseppe Giovanni Boito"", ""Vincenzo Tommasini""]",composer
Who was the screenwriter for The Double?,Michael Brandt,"[""Michael Brandt""]",screenwriter
What genre is The Circle?,young adult literature,"[""young adult literature"", ""juvenile fiction"", ""YA"", ""youth literature"", ""juvenile literature"", ""young adult fiction"", ""YA literature"", ""YA fiction"", ""horror literature""]",genre
Who is the mother of Alice of France?,Eleanor of Aquitaine,"[""Eleanor of Aquitaine""]",mother
In what country is Landresse?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
What is Howard Fowles's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Colleen Zenk Pinter's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer
Who was the screenwriter for Seed?,Glen Mazzara,"[""Glen Mazzara""]",screenwriter
Who was the producer of The Intern?,Nancy Meyers,"[""Nancy Meyers"", ""Nancy Jane Meyers""]",producer
Who was the composer of Old Shatterhand?,Riz Ortolani,"[""Riz Ortolani""]",composer
Who is the author of Good Taste?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
In what country is Giant Food?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the producer of Smile?,Michael Ritchie,"[""Michael Ritchie"", ""Michael Brunswick Ritchie""]",producer
Who was the screenwriter for Lifetime Supply?,Jeffrey Richman,"[""Jeffrey Richman""]",screenwriter
Who was the director of The Silence?,Dearbhla Walsh,"[""Dearbhla Walsh""]",director
Who was the director of The Contract?,Bruce Beresford,"[""Bruce Beresford""]",director
Who was the screenwriter for Democracy?,Cheryl Heuton,"[""Cheryl Heuton"", ""Nicolas Falacci""]",screenwriter
Who was the producer of As You Like It?,Paul Czinner,"[""Paul Czinner""]",producer
Who was the screenwriter for The Fight?,Gene Stupnitsky,"[""Gene Stupnitsky"", ""Lee Eisenberg""]",screenwriter
Who is the author of Camino Real?,Tennessee Williams,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",author
Who was the composer of Don?,Raghava Lawrence,"[""Raghava Lawrence"", ""Lawrence""]",composer
What genre is Nevada?,Western film,"[""Western film"", ""western genre"", ""Western""]",genre
What is the capital of canton of Saint-Doulchard?,Saint-Doulchard,"[""Saint-Doulchard"", ""Unité-sur-Yèvre""]",capital
Who was the composer of Solo?,Karlheinz Stockhausen,"[""Karlheinz Stockhausen"", ""Karl-Heinz Stockhausen""]",composer
Who was the composer of The Seasons?,Pyotr Ilyich Tchaikovsky,"[""Pyotr Ilyich Tchaikovsky"", ""Pyotr Il'yich Tchaikovsky"", ""Pyotr Tchaikovsky"", ""Peter Ilich Tchaikovsky"", ""Tchaikovsky"", ""Peter Tchaikovsky"", ""Pyotr Il'ich Chaikovskiy"", ""Tschaikowski"", ""Tschaikowsky"", ""Chajkovskij"", ""Chaikovsky"", ""Piotr Ilyitch Tchaikovsky""]",composer
Who was the screenwriter for Under Heavy Fire?,Sidney J. Furie,"[""Sidney J. Furie"", ""Sidney Joseph Furie""]",screenwriter
Who was the composer of Walker?,Joe Strummer,"[""Joe Strummer"", ""John Graham Mellor""]",composer
Who was the producer of Positive?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
Who was the director of The Quiet?,Jamie Babbit,"[""Jamie Babbit"", ""Jamie Merill Babbit""]",director
What sport does Graham Oates play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is Luís Marques Guedes's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
In what country is Monti della Tolfa?,Italy,"[""Italy"", ""Italia"", ""Italian Republic"", ""IT"", ""🇮🇹"", ""ITA""]",country
Who was the director of D?,Kenji Eno,"[""Kenji Eno"", ""Kenji Iino""]",director
What is Salem the capital of?,Salem Municipality,"[""Salem Municipality"", ""Salems kommun""]",capital of
Who was the composer of Kaththi?,Anirudh Ravichander,"[""Anirudh Ravichander""]",composer
Who was the screenwriter for Project A?,Jackie Chan,"[""Jackie Chan"", ""Cheng Lung"", ""Sing Lung"", ""Y'uen Lo"", ""Pao Pao"", ""Kong-sang Chan"", ""Kung-Fu Master"", ""Yuan-Lou Chen"", ""Yuan Lung Chen"", ""Yuen Lung Chen"", ""Chen Yuan Lung"", ""Chen Yuen Lung"", ""Jacky Chan"", ""Chen Yuan-lung"", ""Lung Cheng"", ""Chen Lung"", ""Chan Kong-sang""]",screenwriter
What is Miller the capital of?,Hand County,"[""Hand County"", ""Hand County, South Dakota""]",capital of
What genre is Tricky?,trip hop,"[""trip hop"", ""Bristol sound"", ""trip-hop""]",genre
What is Fritz Goos's occupation?,astronomer,"[""astronomer"", ""physicist""]",occupation
What genre is All Over Me?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
Who was the screenwriter for The Moment After?,Kevin Downes,"[""Kevin Downes""]",screenwriter
Who was the composer of Petrushka chord?,Igor Stravinsky,"[""Igor Stravinsky"", ""Igor Fyodorovich Stravinsky"", ""Stravinsky"", ""Igor Strawinski"", ""Igor Strawinsky"", ""Igor Stravinskii"", ""Igor Feodorovich Stravinsky"", ""Jgor Strawinsky"", ""Igor Strawinskij"", ""Igor Stravinski"", ""Igor Fedorovich Stravinsky"", ""I. Strawinsky""]",composer
In what city was Doug Gwosdz born?,Houston,"[""Houston"", ""Houston, Texas"", ""Space City"", ""H-Town"", ""City of Houston"", ""USHOU"", ""Houston, TX""]",place of birth
Who was the composer of Jaani Dost?,Bappi Lahiri,"[""Bappi Lahiri""]",composer
Who was the composer of Picture This?,Ashley Tisdale,"[""Ashley Tisdale"", ""Ashley Michelle Tisdale""]",composer
In what country is Asiana Airlines?,South Korea,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR""]",country
Who was the director of Festival?,Im Kwon-taek,"[""Im Kwon-taek""]",director
Who was the director of Hackers?,Iain Softley,"[""Iain Softley"", ""Iain Declan Softley""]",director
What is Florence the capital of?,Tuscany,"[""Tuscany"", ""Toscana"", ""Republic of Florence"", ""Repubblica Fiorentina"", ""Florentine Republic"", ""Repubblica di Firenze"", ""Province of Florence"", ""Florence"", ""Florence province"", ""Firenze province"", ""provincia di Firenze"", ""Firenze"", ""Kingdom of Italy"", ""Regno d’Italia"", ""Italy"", ""IT""]",capital of
Who was the composer of For Your Love?,Graham Gouldman,"[""Graham Gouldman"", ""Graham Keith Gouldman""]",composer
Who was the producer of Living Things?,Rick Rubin,"[""Rick Rubin"", ""Frederick Jay Rubin"", ""DJ Double R"", ""Rubin""]",producer
Who was the producer of My Name Is Modesty?,Quentin Tarantino,"[""Quentin Tarantino"", ""Tarantino"", ""Quentin Jerome Tarantino""]",producer
Who was the composer of Hair?,Lady Gaga,"[""Lady Gaga"", ""Stefani Joanne Angelina Germanotta"", ""Jo Calderone"", ""Stefani Germanotta""]",composer
What is the religion of Rumi?,Islam,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]",religion
What is the capital of Mexico?,Mexico City,"[""Mexico City"", ""Mexico D.F."", ""Ciudad de México"", ""City of Mexico"", ""Mexico City, Mexico"", ""CDMX"", ""Mexico""]",capital
Who is the father of Ki?,Temmu,"[""Temmu"", ""Emperor Temmu"", ""Tenmu-tennō"", ""Tenmu"", ""Emperor Tenmu""]",father
Who was the screenwriter for Essence?,Chris Carter,"[""Chris Carter"", ""Christopher Carl Carter""]",screenwriter
In what city was Stan Andrews born?,Lynn,"[""Lynn"", ""Lynn, Massachusetts""]",place of birth
Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father
Who is the author of E?,Matt Beaumont,"[""Matt Beaumont""]",author
What sport does David Coulthard play?,Formula One,"[""Formula One"", ""FIA Formula One World Championship"", ""F1"", ""Formula 1""]",sport
Who was the director of Moss?,Kang Woo-suk,"[""Kang Woo-suk"", ""Kang U-seok""]",director
Who is the author of Plutus?,Aristophanes,"[""Aristophanes"", ""Father of Comedy""]",author
What genre is C. L. Blast?,soul music,"[""soul music"", ""soul""]",genre
Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,"[""Robert Anton Wilson"", ""Robert Edward Wilson""]",author
Who was the producer of Angel?,Ganesh Acharya,"[""Ganesh Acharya""]",producer
What genre is The Saint?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show"", ""spy film""]",genre
What genre is The House of God?,satire,"[""satire""]",genre
Who was the director of 42?,Brian Helgeland,"[""Brian Helgeland"", ""Brian Thomas Helgeland""]",director
In what city was Jerrold Katz born?,"Washington, D.C.","[""Washington, D.C."", ""Washington"", ""Washington DC"", ""Washington, DC"", ""DC"", ""D.C."", ""District of Columbia"", ""Washington, District of Columbia"", ""Washington D.C."", ""The District""]",place of birth
What genre is Chip?,rap,"[""rap"", ""emceeing"", ""MCing"", ""spitting"", ""rhyming"", ""rap music"", ""rapping""]",genre
Who was the screenwriter for The Shooting?,Carole Eastman,"[""Carole Eastman"", ""Adrien Joyce""]",screenwriter
What genre is The Children?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is Born American?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre
What is the capital of Yadkin County?,Yadkinville,"[""Yadkinville"", ""Yadkinville, North Carolina""]",capital
Who was the screenwriter for Help Wanted?,Tim Hill,"[""Tim Hill"", ""Timothy Joseph \""Tim\"" Hill"", ""Timothy Joseph Hill"", ""Timothy Hill"", ""Derek Drymon"", ""Derek David Drymon"", ""Derek D. Drymon"", ""Derek Drayman"", ""Derek Dryman"", ""Dare Drymon""]",screenwriter
Who is the author of Transcension?,Damien Broderick,"[""Damien Broderick"", ""Damien Francis Broderick"", ""D. Broderick"", ""D Broderick"", ""Roger Delaney"", ""Edgar Grieve"", ""Jack Harding"", ""Alan Harlison"", ""Philip Jenkins"", ""Horace West"", ""Iago Yarrick"", ""O'Flaherty Gribbles""]",author
Who is the author of From Time to Time?,Jack Finney,"[""Jack Finney"", ""Walter Braden Finney"", ""John Finney""]",author
"Who is the author of American Dream, Global Nightmare?",Ziauddin Sardar,"[""Ziauddin Sardar""]",author
Who was the director of The Pocket-knife?,Ben Sombogaart,"[""Ben Sombogaart""]",director
What genre is Closure?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
"What is the capital of Atenas, Alajuela, Costa Rica?",Atenas,"[""Atenas"", ""Atenas de Atenas""]",capital
Who is the author of Limitations?,Scott Turow,"[""Scott Turow"", ""Scott Frederick Turow""]",author
Who was the composer of La bella dormente nel bosco?,Ottorino Respighi,"[""Ottorino Respighi""]",composer
What is Robert Florey's occupation?,screenwriter,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
In what city was Gintautas Umaras born?,Kaunas,"[""Kaunas"", ""Kovno"", ""Kovne"", ""Kovna"", ""Kowno"", ""Kauen""]",place of birth
Who was the screenwriter for The Heritage?,Anders Refn,"[""Anders Refn""]",screenwriter
What sport does Cam Ward play?,ice hockey,"[""ice hockey""]",sport
What genre is Bakkushan?,indie rock,"[""indie rock"", ""Independent rock""]",genre
Who was the screenwriter for Maze?,Rob Morrow,"[""Rob Morrow"", ""Robert Alan Morrow""]",screenwriter
Who is the author of The Pit?,Frank Norris,"[""Frank Norris"", ""Justin Sturgis""]",author
Who was the producer of L?,Todd Rundgren,"[""Todd Rundgren"", ""Runt"", ""Todd Harry Rundgren""]",producer
What sport does Ondřej Kušnír play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is Carlos María Ramírez's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
In what country is Randfontein Local Municipality?,South Africa,"[""South Africa"", ""Republic of South Africa"", ""RSA"", ""SA"", ""za"", ""🇿🇦"", ""zaf""]",country
What sport does 1991 CONCACAF Gold Cup play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is the capital of Belgium?,City of Brussels,"[""City of Brussels"", ""Brussels City"", ""Brussels, Belgium"", ""Bruxelles"", ""Brussel"", ""Stad Brussel"", ""Ville de Bruxelles"", ""02"", ""BXL"", ""Bru"", ""Brussels""]",capital
Who is the author of Last Days?,Adam Nevill,"[""Adam Nevill"", ""Nevill, Adam L. G.""]",author
What is Wise's occupation?,record producer,"[""record producer"", ""music producer""]",occupation
What genre is HiM?,post-rock,"[""post-rock""]",genre
Who is the author of The Arab Mind?,Raphael Patai,"[""Raphael Patai""]",author
What is Claire Adams's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is the religion of refuge?,Buddhism,"[""Buddhism"", ""Buddha Dharma""]",religion
Who was the composer of Solitude?,Duke Ellington,"[""Duke Ellington"", ""Edward Kennedy \""Duke\"" Ellington"", ""Edward Kennedy Ellington"", ""Edward K. Ellington""]",composer
Who was the screenwriter for Taxi?,Luc Besson,"[""Luc Besson"", ""Luc Paul Maurice Besson""]",screenwriter
What is Rinaldo del Mel's occupation?,composer,"[""composer""]",occupation
What sport does Li Shuai play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the screenwriter for I Come with the Rain?,Tran Anh Hung,"[""Tran Anh Hung""]",screenwriter
In what country is Joy?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the director of He?,Rouzbeh Rashidi,"[""Rouzbeh Rashidi""]",director
Who is the author of Conan the Valiant?,Roland J. Green,"[""Roland J. Green"", ""Roland James Green""]",author
Who was the producer of The Assault?,Fons Rademakers,"[""Fons Rademakers""]",producer
Who was the screenwriter for You'd Be Surprised?,Robert Benchley,"[""Robert Benchley"", ""Robert Charles Benchley""]",screenwriter
What is Paris the capital of?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",capital of
Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,"[""Ann Brashares""]",author
What sport does FINA play?,open water swimming,"[""open water swimming"", ""water polo"", ""diving""]",sport
What genre is The Fashion?,indie rock,"[""indie rock"", ""Independent rock""]",genre
Who was the producer of Look Around You?,Peter Serafinowicz,"[""Peter Serafinowicz"", ""Peter Szymon Serafinowicz"", ""Robert Popper"", ""Robert Darren Popper""]",producer
What genre is Report?,experimental film,"[""experimental film"", ""avant-garde film"", ""experimental cinema""]",genre
Who is the author of QB VII?,Leon Uris,"[""Leon Uris"", ""Leon Marcus Uris""]",author
Who was the screenwriter for The Night They Raided Minsky's?,Norman Lear,"[""Norman Lear"", ""Norman Milton Lear""]",screenwriter
Who is the father of Pannonica de Koenigswarter?,Charles Rothschild,"[""Charles Rothschild"", ""Nathaniel Charles Rothschild""]",father
What genre is David Cobb?,marine art,"[""marine art"", ""maritime art"", ""marine"", ""zeegezicht"", ""seascape""]",genre
Who was the director of Treasure Island?,Steve Barron,"[""Steve Barron"", ""Steven Barron""]",director
Who is the mother of Emmanuel Théodose de La Tour d'Auvergne?,Marie Anne Mancini,"[""Marie Anne Mancini"", ""Marie-Anne Mancini""]",mother
What is the religion of Manuel Aurelio Cruz?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
What genre is York?,downtempo,"[""downtempo"", ""chillout"", ""chill"", ""downbeat""]",genre
What genre is Eat at Home?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What is the religion of Abdulla al-Hadj?,Islam,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]",religion
Who was the director of Champion?,Rabi Kinagi,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]",director
Who is the author of The Deep?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
What genre is The Interview?,comedy film,"[""comedy film"", ""comedy movie""]",genre
Who was the director of Laura?,Otto Preminger,"[""Otto Preminger"", ""Otto L. Preminger""]",director
Who was the director of Close My Eyes?,Stephen Poliakoff,"[""Stephen Poliakoff""]",director
In what country is Tōhoku History Museum?,Japan,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""JAP""]",country
Who was the director of Holiday?,George Cukor,"[""George Cukor"", ""George Dewey Cukor""]",director
What genre is Tharg the Mighty?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
Who is the author of Where Dead Voices Gather?,Nick Tosches,"[""Nick Tosches"", ""Nicholas P. Tosches""]",author
Who was the screenwriter for Paradise?,Diablo Cody,"[""Diablo Cody""]",screenwriter
What is the religion of Mohamed Said Ramadan Al-Bouti?,Sunni Islam,"[""Sunni Islam"", ""Sunni"", ""Sunnite Muslims"", ""Sunnite Muslim""]",religion
Who was the director of An Education?,Lone Scherfig,"[""Lone Scherfig""]",director
Who was the screenwriter for Clean?,Olivier Assayas,"[""Olivier Assayas""]",screenwriter
What genre is The Message?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
In what country is Normal?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the producer of Gravity?,David Heyman,"[""David Heyman"", ""David Jonathan Heyman""]",producer
In what country is Cleveland City Council?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What sport does Giovanni Fanello play?,association football,"[""association football"", ""football"", ""soccer""]",sport
In what city was JB Magsaysay born?,San Juan,"[""San Juan""]",place of birth
Who was the composer of The Card?,Tony Hatch,"[""Tony Hatch"", ""Anthony Peter Hatch"", ""Fred Nightingale"", ""Mark Anthony"", ""00013564113 IPI"", ""00013563704 IPI""]",composer
Who is the author of A Moreninha?,Joaquim Manuel de Macedo,"[""Joaquim Manuel de Macedo""]",author
Who was the director of Jerry and Tom?,Saul Rubinek,"[""Saul Rubinek""]",director
Who was the screenwriter for Kotigobba?,Suresh Krissna,"[""Suresh Krissna"", ""Suresh Krishna""]",screenwriter
Who was the screenwriter for Resurrection?,Leo Tolstoy,"[""Leo Tolstoy"", ""Tolstoi"", ""Tolstoy"", ""Lev Nikolaevich, graf Tolstoĭ"", ""Lev Nikolayevich, Count Tolstoy"", ""Count Lev Tolstoy"", ""Leo, graf Tolstoy"", ""Lev, Count Tolstoy"", ""Lev, graf Tolsztoj"", ""Лев Николаевич,"", ""c граф Толстой"", ""Lew, graf Tolstoi"", ""Lev Nikolaevich Tolstoy"", ""Lev Tolstoy"", ""Count Leo Tolstoy""]",screenwriter
What genre is The Visitor?,horror film,"[""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
Who is the author of Bel Canto?,Ann Patchett,"[""Ann Patchett""]",author
What genre is From Within?,horror film,"[""horror film"", ""horror movie""]",genre
Who was the director of 180?,Ray Comfort,"[""Ray Comfort""]",director
Who was the screenwriter for Berkeley?,Bobby Roth,"[""Bobby Roth"", ""Robert Jay \""Bobby\"" Roth""]",screenwriter
What genre is 30 Minutes?,pop music,"[""pop music"", ""pop""]",genre
What is the religion of Muhammad?,Hanif,"[""Hanif"", ""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]",religion
What is Paddy Mullins's occupation?,horse trainer,"[""horse trainer"", ""racehorse trainer""]",occupation
What genre is Solo?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
Who is the author of Victoria?,Knut Hamsun,"[""Knut Hamsun"", ""Knut Pedersen Hamsun"", ""Hamsun""]",author
Who was the screenwriter for Lessons?,Ed Burns,"[""Ed Burns"", ""David Simon"", ""David Judah Simon""]",screenwriter
Who was the director of My Wife?,Tinto Brass,"[""Tinto Brass"", ""Mauro Bolognini"", ""Luigi Comencini""]",director
What genre is Purple Toupee?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
In what country is Volvic?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
What genre is Foxy Brown?,reggae,"[""reggae"", ""reggae music""]",genre
Who is the mother of May Morris?,Jane Morris,"[""Jane Morris"", ""Jane Burden""]",mother
In what country is George?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the producer of Electronic?,Johnny Marr,"[""Johnny Marr"", ""John Martin Maher"", ""Bernard Sumner"", ""Bernard Dicken"", ""Bernard Edward Sumner"", ""Bernard Dickin""]",producer
What color is Rosa 'Ingrid Bergman'?,red,"[""red"", ""red color""]",color
Who was the director of The Relic?,Peter Hyams,"[""Peter Hyams""]",director
What is Nigel Sheinwald's occupation?,diplomat,"[""diplomat""]",occupation
What sport does penalty play?,ice hockey,"[""ice hockey""]",sport
Who was the producer of Leader?,M. S. Guhan,"[""M. S. Guhan""]",producer
Who was the producer of Frequency?,Toby Emmerich,"[""Toby Emmerich"", ""Gregory Hoblit"", ""Gregory King Hoblit""]",producer
Who was the director of Young People?,Luis Alcoriza,"[""Luis Alcoriza"", ""Luis Alcoriza de la Vega""]",director
Who was the screenwriter for Refugees?,Ed Burns,"[""Ed Burns"", ""Dennis Lehane""]",screenwriter
Who was the director of Madea Gets a Job?,Tyler Perry,"[""Tyler Perry"", ""Emmitt Perry Jr.""]",director
Who was the producer of Smart People?,Michael London,"[""Michael London""]",producer
In what city was David Watson born?,Quebec City,"[""Quebec City"", ""Quebec"", ""Ville de Québec"", ""Québec"", ""City of Québec"", ""City of Quebec"", ""Ville de Quebec"", ""3rd Summit of the Americas""]",place of birth
