question,correct_answer,possible_answers,type
Who was the producer of 10 Years?,Armin van Buuren,"[""Armin van Buuren"", ""AvB"", ""Armin Jozef Jacobus Daniël van Buuren"", ""Amsterdance"", ""Perpetuous Dreamer"", ""Problem Boy"", ""Rising Star"", ""The Shoeshine Factory""]",producer
What sport does Simon Tahamata play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is Boston the capital of?,Bowie County,"[""Bowie County"", ""Bowie County, Texas""]",capital of
What sport does The Maniacs play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the producer of The Net 2.0?,Rob Cowan,"[""Rob Cowan""]",producer
Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
Who was the composer of The Carter?,Lil Wayne,"[""Lil Wayne"", ""Dwayne Carter"", ""Dwayne Michael Carter Jr."", ""Tunechi"", ""Weezy F. Baby"", ""The President"", ""Baby D""]",composer
Who was the director of Unknown?,Jaume Collet-Serra,"[""Jaume Collet-Serra""]",director
Who was the producer of Police?,Catherine Breillat,"[""Catherine Breillat""]",producer
What sport does 1973 Alabama Crimson Tide football team play?,American football,"[""American football"", ""gridiron football"", ""football"", ""American rules football""]",sport
What is Sunshine the capital of?,City of Brimbank,"[""City of Brimbank"", ""Brimbank City"", ""Brimbank""]",capital of
What is the capital of New Hampshire?,Concord,"[""Concord"", ""Concord, New Hampshire"", ""Concord N.H.""]",capital
What is the capital of Wa State?,Pangkham,"[""Pangkham""]",capital
In what country is Iksan?,South Korea,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""KOR""]",country
Who was the director of Wink of an Eye?,Jud Taylor,"[""Jud Taylor"", ""Judson Taylor""]",director
Who is the father of Mwanga II of Buganda?,Muteesa I,"[""Muteesa I"", ""Muteesa I Mukaabya Walugembe Kayiira""]",father
What is Madrid the capital of?,Spain,"[""Spain"", ""España"", ""Kingdom of Spain"", ""ES"", ""ESP"", ""First Spanish Republic"", ""Community of Madrid"", ""Madrid autonomous community"", ""Madrid province"", ""Comunidad de Madrid"", ""Autonomous Community of Madrid""]",capital of
Who was the screenwriter for Office Space?,Mike Judge,"[""Mike Judge"", ""Judgemental Films"", ""Michael Judge"", ""Michael Craig Judge"", ""Michael C. Judge""]",screenwriter
Who was the producer of Particle Fever?,Mark Levinson,"[""Mark Levinson""]",producer
Who is the father of Anubis?,Osiris,"[""Osiris""]",father
In what country is Mary?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
Who is the father of Şehzade Bayezid?,Suleiman the Magnificent,"[""Suleiman the Magnificent"", ""Suleiman I"", ""Suleiman the Lawgiver"", ""Suleiman bin Selim Khan"", ""Kanuni"", ""Sultan Süleyman"", ""Süleyman Muhtesem"", ""Süleyman the Magnificent"", ""Soliman"", ""Sulaymān"", ""Süleyman I"", ""Sultan of the Turks Süleyman I"", ""Sultan of the Turks Kanunî Süleyman"", ""Sultan of the Turks Solyman I"", ""Sultan of the Turks Solimano I"", ""Soliman le Magnifique"", ""Sultan of the Turks Kanunî"", ""Solimano il Magnifico"", ""Muhibbî"", ""Sultan of the Turks Soliman I"", ""Sultan of the Turks Kanuni"", ""Muhibbi""]",father
In what city was Germaine Aussey born?,Paris,"[""Paris"", ""City of Light"", ""Paris, France""]",place of birth
Who was the composer of Rock You Like a Hurricane?,Rudolf Schenker,"[""Rudolf Schenker""]",composer
In what city was JB Magsaysay born?,San Juan,"[""San Juan""]",place of birth
Who was the composer of Getting to Know You?,Richard Rodgers,"[""Richard Rodgers"", ""Richard Charles Rodgers""]",composer
What is Lima the capital of?,Viceroyalty of Perú,"[""Viceroyalty of Perú"", ""Viceroyalty of Peru"", ""Peru"", ""pe"", ""Republic of Peru"", ""República del Perú"", ""Republica del Peru""]",capital of
Who is the author of Empire and Communications?,Harold Innis,"[""Harold Innis"", ""Harold Adams Innis""]",author
In what country is Khabb wa ash Sha'af District?,Yemen,"[""Yemen"", ""Republic of Yemen"", ""ye"", ""Rep. Yemen"", ""YEM""]",country
What is Port Elizabeth the capital of?,Sarah Baartman District Municipality,"[""Sarah Baartman District Municipality"", ""Cacadu District"", ""Cacadu Municipality"", ""Cacadu District Municipality"", ""Sarah Baartman Municipality"", ""Sarah Baartman District"", ""Nelson Mandela Bay Metropolitan Municipality"", ""Nelson Mandela Bay"", ""Nelson Mandela Bay Municipality""]",capital of
Who was the director of The Interview?,Seth Rogen,"[""Seth Rogen"", ""Seth Aaron Rogen"", ""Evan Goldberg""]",director
What is the capital of Niger?,Niamey,"[""Niamey""]",capital
Who is the author of Last Days?,Adam Nevill,"[""Adam Nevill"", ""Nevill, Adam L. G.""]",author
In what city was Gintautas Umaras born?,Kaunas,"[""Kaunas"", ""Kovno"", ""Kovne"", ""Kovna"", ""Kowno"", ""Kauen""]",place of birth
Who was the screenwriter for Great Expectations?,David Nicholls,"[""David Nicholls"", ""David Alan Nicholls""]",screenwriter
Who was the composer of Time?,Rahul Raj,"[""Rahul Raj""]",composer
What sport does Jim Thomas play?,basketball,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB""]",sport
In what city was Alfredo Ramos Martínez born?,Monterrey,"[""Monterrey"", ""Monterrey, Nuevo Leon"", ""Monterrey, Mexico"", ""La sultana del norte"", ""La ciudad de las montañas""]",place of birth
