question,correct_answer,possible_answers,type
What genre is Ilona?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is The Take?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Tharg the Mighty?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Wonderful World?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is Black President?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is David Allan?,history painting,"[""history painting"", ""historical painting"", ""historical art""]",genre
What genre is Drive On?,pop music,"[""pop music"", ""pop""]",genre
What genre is Technology?,synth-pop,"[""synth-pop"", ""synthesizer pop"", ""techno-pop"", ""synthpop""]",genre
What genre is Nine Inch Nails?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""ambient music"", ""ambient"", ""industrial metal"", ""industrial music"", ""industrial"", ""industrial rock""]",genre
What genre is This Is the Life?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is The Script?,pop rock,"[""pop rock"", ""pop/rock"", ""pop-rock""]",genre
What genre is The Details?,indie rock,"[""indie rock"", ""Independent rock""]",genre
What genre is Kirby 64: The Crystal Shards?,platform game,"[""platform game"", ""platformer"", ""Platform video games""]",genre
What genre is Always Will Be?,heavy metal,"[""heavy metal"", ""heavy metal music"", ""Metal"", ""Metal music""]",genre
What genre is The Wicked?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is Philip Catherine?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Taxi?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is Hands Across the Sea?,march,"[""march"", ""classical march""]",genre
What genre is Alejandro Fernández?,pop music,"[""pop music"", ""pop""]",genre
What genre is Todd Terry?,house music,"[""house music"", ""house""]",genre
What genre is The Cross?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is 10 Years?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy"", ""romantic comedy"", ""romedy"", ""romcom""]",genre
What genre is Pokémon Red and Blue?,role-playing video game,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",genre
What genre is Lanemeyer?,pop punk,"[""pop punk"", ""punk-pop"", ""pop-punk""]",genre
What genre is Terror from the Year 5000?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Wilderness?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is Out of the Blue?,musical film,"[""musical film"", ""musical movie""]",genre
What genre is Everything?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
What genre is Afsporet?,film noir,"[""film noir""]",genre
What genre is Valvin Roane?,rhythm and blues,"[""rhythm and blues"", ""R&B"", ""RnB"", ""R and B"", ""R & B""]",genre
What genre is Tim?,romance film,"[""romance film"", ""romance genre"", ""romantic film""]",genre
What genre is Organisation?,Krautrock,"[""Krautrock"", ""kraut rock"", ""kosmische Musik""]",genre
What genre is Intersect?,puzzle video game,"[""puzzle video game"", ""puzzle game"", ""Puzzle video games"", ""puzzle/jigsaw video game""]",genre
What genre is Chrome?,first-person shooter,"[""first-person shooter"", ""fps"", ""first person shooter video games"", ""first-person shooter video game"", ""FPS game"", ""FPS video game"", ""first-person shooter game""]",genre
What genre is Revenge?,soap opera,"[""soap opera"", ""soap"", ""soapie"", ""soapopera""]",genre
What genre is Noise?,trip hop,"[""trip hop"", ""Bristol sound"", ""trip-hop""]",genre
What genre is At This Moment?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
What genre is All About Them?,romantic comedy,"[""romantic comedy"", ""romedy"", ""romcom""]",genre
What genre is Removal?,experimental music,"[""experimental music"", ""Experimental""]",genre
What genre is Celebration?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Just Dance 4?,music video game,"[""music video game"", ""music game"", ""music and rhythm video games""]",genre
What genre is Terri?,teen film,"[""teen film"", ""teen movie"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is The Void?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Mother?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Galaxy?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Spice?,pop rock,"[""pop rock"", ""pop/rock"", ""pop-rock""]",genre
What genre is The Trip?,sitcom,"[""sitcom"", ""situational comedy"", ""situation comedy""]",genre
What genre is The Lesson?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is 2001?,gangsta rap,"[""gangsta rap"", ""gangster rap""]",genre
What genre is Me and My Friend?,sitcom,"[""sitcom"", ""situational comedy"", ""situation comedy""]",genre
What genre is Unknown?,fantasy,"[""fantasy"", ""fantasy fiction""]",genre
What genre is Run the World?,pop music,"[""pop music"", ""pop""]",genre
What genre is Lonnie Liston Smith?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Delivery?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is With or Without You?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Enter?,gothic metal,"[""gothic metal"", ""goth metal""]",genre
What genre is Umbrella?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Tomato?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is Accused?,anthology series,"[""anthology series""]",genre
What genre is In the Navy?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is Threshold?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Claude Lorrain?,landscape art,"[""landscape art"", ""landscape painting"", ""landscape""]",genre
What genre is Roper?,pop punk,"[""pop punk"", ""punk-pop"", ""pop-punk""]",genre
What genre is Avatar: The Last Airbender?,animated series,"[""animated series"", ""cartoon series"", ""animated TV series"", ""animated television series"", ""animated television show"", ""animated TV show"", ""animation series"", ""animation television series"", ""animation TV series"", ""animation show"", ""animation television show"", ""animation TV show""]",genre
What genre is A Love Story?,romance film,"[""romance film"", ""romance genre"", ""romantic film""]",genre
What genre is The Firm?,film adaptation,"[""film adaptation"", ""based upon"", ""adapted for the screen"", ""cinematic adaptation""]",genre
What genre is F1?,racing video game,"[""racing video game"", ""racing game"", ""racing video games"", ""racer""]",genre
What genre is Erin Beck?,pop music,"[""pop music"", ""pop""]",genre
What genre is Pixels?,3D film,"[""3D film"", ""3-D film"", ""3D movie"", ""3-D movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Ark?,hard science fiction,"[""hard science fiction""]",genre
What genre is Infinity?,acid house,"[""acid house"", ""acid""]",genre
What genre is Germans?,indie rock,"[""indie rock"", ""Independent rock""]",genre
What genre is Seam?,indie rock,"[""indie rock"", ""Independent rock""]",genre
What genre is Revelations: Persona?,role-playing video game,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]",genre
What genre is Left Behind?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What genre is Chess with Friends?,chess,"[""chess"", ""International Chess"", ""Modern European Chess"", ""Western Chess"", ""chess game""]",genre
What genre is Beth Gibbons?,pop music,"[""pop music"", ""pop""]",genre
What genre is Twelve?,teen film,"[""teen film"", ""teen movie""]",genre
What genre is Reach?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
What genre is Zoo?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Lou Christie?,pop music,"[""pop music"", ""pop""]",genre
What genre is Holes?,comedy film,"[""comedy film"", ""comedy movie"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is The Shapes?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is Turn to the Right?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is Universe?,adventure game,"[""adventure game"", ""adventure video game""]",genre
What genre is S.H.E?,mandopop,"[""mandopop"", ""Mandarin popular music"", ""mandapop""]",genre
What genre is Benjamin Speed?,indie pop,"[""indie pop"", ""indie pop music"", ""indie-pop"", ""indiepop""]",genre
What genre is Slim Gaillard?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Sabotage?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre
What genre is 2AM?,K-pop,"[""K-pop"", ""K POP"", ""KPOP"", ""Korean pop"", ""pop music"", ""pop""]",genre
What genre is Keen'V?,ragga,"[""ragga"", ""Raggamuffin music"", ""dancehall"", ""raggamuffin""]",genre
What genre is The Brothers Four?,traditional music,"[""traditional music"", ""traditional folk music"", ""popular melody"", ""folk music"", ""music traditions"", ""musical folklore""]",genre
What genre is Far from Vietnam?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is The Book?,short story,"[""short story"", ""tale"", ""pripovijetka""]",genre
What genre is Shedding for the Wedding?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
What genre is Focus?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is Special?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is ALF?,sitcom,"[""sitcom"", ""situational comedy"", ""situation comedy""]",genre
What genre is Globe?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
What genre is Tales of Maj'Eyal?,roguelike,"[""roguelike"", ""roguelike video games"", ""rogue-like games""]",genre
What genre is Up in the Air?,film adaptation,"[""film adaptation"", ""based upon"", ""adapted for the screen"", ""cinematic adaptation""]",genre
What genre is Rain?,adventure game,"[""adventure game"", ""adventure video game""]",genre
What genre is The Tunnel?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Ninja Boy II?,action role-playing game,"[""action role-playing game"", ""action role-playing video game"", ""action RPG"", ""ARPG"", ""action/RPG""]",genre
What genre is Dag Stokke?,hard rock,"[""hard rock""]",genre
What genre is No Man Friday?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is The Wake?,gothic rock,"[""gothic rock"", ""goth rock"", ""goth""]",genre
What genre is Troy?,war film,"[""war film"", ""war movie""]",genre
What genre is GG Allin?,hardcore punk,"[""hardcore punk"", ""hXc"", ""Punk/HC"", ""hardcore"", ""punk rock"", ""punk"", ""punk music""]",genre
What genre is The Gang?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What genre is Wishcraft?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is The Returned?,horror literature,"[""horror literature""]",genre
What genre is The Scalawag Bunch?,swashbuckler film,"[""swashbuckler film"", ""swashbuckler movie"", ""cloak-and-dagger movie""]",genre
What genre is Hope?,espionage novel,"[""espionage novel"", ""spy novel"", ""espionage literature""]",genre
What genre is Nine Inch Nails?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""ambient music"", ""ambient"", ""industrial metal"", ""industrial music"", ""industrial"", ""industrial rock""]",genre
What genre is Confessions of a Nazi Spy?,propaganda film,"[""propaganda film"", ""spy film""]",genre
What genre is Faster?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre
What genre is Eclipse?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is The Off Season?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is Restrictions?,hard rock,"[""hard rock""]",genre
What genre is Pulse?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is The Invasion?,film adaptation,"[""film adaptation"", ""based upon"", ""adapted for the screen"", ""cinematic adaptation"", ""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show"", ""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is A State of Mind?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Oasis?,Britpop,"[""Britpop"", ""British pop"", ""Brit-pop""]",genre
What genre is Unity?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Elias Childe?,landscape art,"[""landscape art"", ""landscape painting"", ""landscape""]",genre
What genre is Southern Rock Opera?,alternative country,"[""alternative country"", ""alt-country"", ""insurgent country"", ""Americana"", ""Southern rock""]",genre
What genre is The Complex?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is La Patrona?,telenovela,"[""telenovela"", ""Spanish soap opera""]",genre
What genre is Question and Answer?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Bangai-O Spirits?,action game,"[""action game"", ""action video game""]",genre
What genre is The Killer?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""crime film"", ""crime movie""]",genre
What genre is Passenger?,industrial metal,"[""industrial metal""]",genre
What genre is The Thorn in the Heart?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Nevada?,Western film,"[""Western film"", ""western genre"", ""Western""]",genre
What genre is André Duchesne?,experimental music,"[""experimental music"", ""Experimental""]",genre
What genre is Memorial?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is ARB?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Part of Me?,dance-pop,"[""dance-pop"", ""dance pop"", ""power pop""]",genre
What genre is Bryan Spring?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is The Horrors?,indie rock,"[""indie rock"", ""Independent rock"", ""gothic rock"", ""goth rock"", ""goth""]",genre
What genre is SimTower?,construction and management simulation,"[""construction and management simulation"", ""CMS"", ""Construction and management simulation video games"", ""miniscape""]",genre
What genre is Elizabeth Davis?,Riot grrrl,"[""Riot grrrl""]",genre
What genre is Dogs?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Arthur William Devis?,history painting,"[""history painting"", ""historical painting"", ""historical art""]",genre
What genre is A Milli?,rap,"[""rap"", ""emceeing"", ""MCing"", ""spitting"", ""rhyming"", ""rap music"", ""rapping""]",genre
What genre is The Happy Prince and Other Tales?,short story,"[""short story"", ""tale"", ""pripovijetka""]",genre
What genre is RED 2?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre
What genre is Demon?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Decay?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is The Train?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show"", ""war film"", ""war movie""]",genre
What genre is The Matrix?,cyberpunk,"[""cyberpunk"", ""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Just Around the Corner?,musical film,"[""musical film"", ""musical movie""]",genre
What genre is Frames?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is Point of View?,short story,"[""short story"", ""tale"", ""pripovijetka""]",genre
What genre is Rule the World?,pop music,"[""pop music"", ""pop""]",genre
What genre is Die Fledermaus?,operetta,"[""operetta""]",genre
What genre is Operation Sabotage?,interactive fiction,"[""interactive fiction"", ""text adventure"", ""interactive book video game"", ""Interactive eBooks""]",genre
What genre is Khan?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is The Resort?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
What genre is Ange?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is Voltaj?,pop rock,"[""pop rock"", ""pop/rock"", ""pop-rock""]",genre
What genre is Born Ruffians?,indie rock,"[""indie rock"", ""Independent rock""]",genre
What genre is The Music?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is Yield?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is Sonic Youth?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""experimental rock"", ""avant-garde rock"", ""avant rock"", ""noise rock"", ""noise punk"", ""indie rock"", ""Independent rock"", ""no wave""]",genre
What genre is Archive?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is Higher and Higher?,musical film,"[""musical film"", ""musical movie""]",genre
What genre is The Task?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is Released?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock""]",genre
What genre is The Attic?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is Rides?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
What genre is Loose?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Darkness?,hard rock,"[""hard rock""]",genre
What genre is Blackbirds at Bangpleng?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is The Thing?,horror film,"[""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is The Waverly Wonders?,sitcom,"[""sitcom"", ""situational comedy"", ""situation comedy""]",genre
What genre is Rain?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is The Gap?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is Dark Matter?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is The Amazing Catfish?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is Bust-a-Move Pocket?,puzzle video game,"[""puzzle video game"", ""puzzle game"", ""Puzzle video games"", ""puzzle/jigsaw video game""]",genre
What genre is Executioner's Song?,thrash metal,"[""thrash metal"", ""trash metal"", ""thrash"", ""Best early thrash metal""]",genre
What genre is Chaotic?,novella,"[""novella""]",genre
What genre is Ultimo mondo cannibale?,exploitation film,"[""exploitation film"", ""cannibal film""]",genre
What genre is Coil?,experimental music,"[""experimental music"", ""Experimental""]",genre
What genre is terminal?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Grandpa?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
What genre is Flare?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
What genre is Island of Terror?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is Crumb?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is The Nest?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is MUD?,massively multiplayer online role-playing game,"[""massively multiplayer online role-playing game"", ""MMORPG"", ""MMO"", ""RPG""]",genre
What genre is John Entwistle?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is A Brokedown Melody?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Miracle?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
What genre is Expedition?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Brain Slaves?,neo-psychedelia,"[""neo-psychedelia""]",genre
What genre is The Marriage?,sitcom,"[""sitcom"", ""situational comedy"", ""situation comedy""]",genre
What genre is Avatar?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Addicted to Beauty?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
What genre is Emmeline?,Gothic fiction,"[""Gothic fiction"", ""Gothic novel"", ""Gothic literature""]",genre
What genre is La Boum?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is The Children?,horror film,"[""horror film"", ""horror movie""]",genre
What genre is Spy?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is The New World?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
What genre is Never Better?,sitcom,"[""sitcom"", ""situational comedy"", ""situation comedy""]",genre
What genre is The Shadow?,superhero film,"[""superhero film"", ""Superhero movie"", ""Superhero motion picture""]",genre
What genre is Branded?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
What genre is Ivan Julian?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is No Doubt?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""rock music"", ""rock and roll"", ""rock"", ""punk rock"", ""punk"", ""punk music"", ""pop music"", ""pop"", ""ska punk"", ""ska-core"", ""punk ska"", ""pop rock"", ""pop-rock"", ""ska"", ""ska music""]",genre
What genre is The Elementary School?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is Inna?,dance-pop,"[""dance-pop"", ""dance pop"", ""dance music"", ""club music"", ""Dance"", ""pop music"", ""pop"", ""electronic dance music"", ""EDM""]",genre
What genre is Shockproof?,film noir,"[""film noir""]",genre
What genre is Operator?,post-grunge,"[""post-grunge""]",genre
What genre is Earth?,science fiction,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sciencefiction""]",genre
What genre is Demons?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What genre is McKendree Long?,portrait,"[""portrait"", ""portraiture"", ""portrait art""]",genre
What genre is Warning?,action film,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]",genre
What genre is Last Night?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
What genre is The Police?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What genre is Drill?,industrial rock,"[""industrial rock""]",genre
What genre is Time After Time?,science fiction film,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]",genre
