question,correct_answer,possible_answers,model_answer,is_correct,type
In what city was Hank Autry born?,Hattiesburg,"[""Hattiesburg"", ""Hattiesburg, Mississippi""]",Los Angeles,False,place of birth
Who was the composer of Messa?,Giacomo Puccini,"[""Giacomo Puccini"", ""Puccini"", ""Giacomo Antonio Domenico Michele Secondo Maria Puccini""]",Mozart,False,composer
Who was the composer of Norma?,Vincenzo Bellini,"[""Vincenzo Bellini"", ""Bellini"", ""Vincenzo Salvatore Carmelo Francesco Bellini""]",Vincenzo Bellini,True,composer
What is the capital of Maitraka?,Vallabhipur,"[""Vallabhipur"", ""Vallabhi"", ""Vala""]",The capital of Maitraka is the,False,capital
What is Tyler the capital of?,Smith County,"[""Smith County"", ""Smith County, Texas""]",Tyler is the capital of Texas.,True,capital of
Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",Charles Strouse,True,composer
Who was the screenwriter for Another Year?,Mike Leigh,"[""Mike Leigh""]",Mike Leigh,True,screenwriter
Who was the screenwriter for The Passenger?,Mark Peploe,"[""Mark Peploe"", ""Michelangelo Antonioni"", ""An-tung-ni-ao-ni"", ""Peter Wollen""]",John Boorman,False,screenwriter
Who was the producer of Brothers?,Andy Lau,"[""Andy Lau"", ""Liu Dehua"", ""Lau Tak Wah"", ""Andy Lau Tak-wah""]",David Fincher,False,producer
What is Chester the capital of?,Kingdom of Gwynedd,"[""Kingdom of Gwynedd"", ""Gwynedd""]",Chester is the capital of Cheshire.,False,capital of
In what country is Mas?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",India,False,country
Who was the screenwriter for The Key?,Jan de Hartog,"[""Jan de Hartog"", ""F.R. Eckmar""]",John Sayles,False,screenwriter
What sport does Tom Jordan play?,association football,"[""association football"", ""football"", ""soccer""]",Football,True,sport
Who is the author of Act One?,James Lapine,"[""James Lapine"", ""James Elliot Lapine""]",William Shakespeare,False,author
What is the capital of Nord?,Lille,"[""Lille"", ""Rijsel"", ""Lile"", ""Rysel""]",Nord is the capital of Nord.,False,capital
In what country is Oxford?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",England,False,country
What is the capital of Norway?,Oslo,"[""Oslo"", ""Christiania"", ""Kristiania"", ""NOOSL"", ""Oslo, Norway""]",Oslo,True,capital
What is Harare the capital of?,Rhodesia,"[""Rhodesia"", ""Republic of Rhodesia"", ""Southern Rhodesia"", ""Zimbabwe"", ""Republic of Zimbabwe"", ""Zimbabwe Rhodesia"", ""zw"", ""ZIM""]",Zimbabwe,True,capital of
Who is the author of Utopia?,Thomas More,"[""Thomas More"", ""Sir Thomas More"", ""Saint Thomas More"", ""Thomas Morus"", ""Thomas, Saint More"", ""Thomas, Sir More""]",Thomas More,True,author
Who was the producer of Marc?,Muriel Young,"[""Muriel Young""]",Marc,False,producer
In what city was Frederick George Bromberg born?,New York City,"[""New York City"", ""NYC"", ""New York"", ""the five boroughs"", ""Big Apple"", ""City of New York"", ""NY City"", ""New York, New York"", ""New York City, New York"", ""New York, NY"", ""New York City (NYC)""]",New York City,True,place of birth
Who was the producer of 10 Years?,Armin van Buuren,"[""Armin van Buuren"", ""AvB"", ""Armin Jozef Jacobus Daniël van Buuren"", ""Amsterdance"", ""Perpetuous Dreamer"", ""Problem Boy"", ""Rising Star"", ""The Shoeshine Factory""]",10 Years was produced by the,False,producer
What sport does Simon Tahamata play?,association football,"[""association football"", ""football"", ""soccer""]",Rugby,False,sport
What is Boston the capital of?,Bowie County,"[""Bowie County"", ""Bowie County, Texas""]",Massachusetts,False,capital of
What sport does The Maniacs play?,association football,"[""association football"", ""football"", ""soccer""]",Football,True,sport
Who was the producer of The Net 2.0?,Rob Cowan,"[""Rob Cowan""]",The Net 2.0 was produced,False,producer
Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",Lee Daniels,True,producer
Who was the composer of The Carter?,Lil Wayne,"[""Lil Wayne"", ""Dwayne Carter"", ""Dwayne Michael Carter Jr."", ""Tunechi"", ""Weezy F. Baby"", ""The President"", ""Baby D""]",John Carter,True,composer
Who was the director of Unknown?,Jaume Collet-Serra,"[""Jaume Collet-Serra""]",Jaume Collet-Serra,True,director
Who was the producer of Police?,Catherine Breillat,"[""Catherine Breillat""]",George Lucas,False,producer
What sport does 1973 Alabama Crimson Tide football team play?,American football,"[""American football"", ""gridiron football"", ""football"", ""American rules football""]",Football,True,sport
What is Sunshine the capital of?,City of Brimbank,"[""City of Brimbank"", ""Brimbank City"", ""Brimbank""]",Florida,False,capital of
What is the capital of New Hampshire?,Concord,"[""Concord"", ""Concord, New Hampshire"", ""Concord N.H.""]",Concord,True,capital
What is the capital of Wa State?,Pangkham,"[""Pangkham""]",Olympia,False,capital
In what country is Iksan?,South Korea,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""KOR""]",South Korea,True,country
Who was the director of Wink of an Eye?,Jud Taylor,"[""Jud Taylor"", ""Judson Taylor""]",John Huston,False,director
Who is the father of Mwanga II of Buganda?,Muteesa I,"[""Muteesa I"", ""Muteesa I Mukaabya Walugembe Kayiira""]",Kabaka Mwanga II was the son,False,father
What is Madrid the capital of?,Spain,"[""Spain"", ""España"", ""Kingdom of Spain"", ""ES"", ""ESP"", ""First Spanish Republic"", ""Community of Madrid"", ""Madrid autonomous community"", ""Madrid province"", ""Comunidad de Madrid"", ""Autonomous Community of Madrid""]",Spain,True,capital of
Who was the screenwriter for Office Space?,Mike Judge,"[""Mike Judge"", ""Judgemental Films"", ""Michael Judge"", ""Michael Craig Judge"", ""Michael C. Judge""]",Mike Judge,True,screenwriter
Who was the producer of Particle Fever?,Mark Levinson,"[""Mark Levinson""]",Peter Jackson,False,producer
Who is the father of Anubis?,Osiris,"[""Osiris""]",Osiris,True,father
In what country is Mary?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",England,False,country
Who is the father of Şehzade Bayezid?,Suleiman the Magnificent,"[""Suleiman the Magnificent"", ""Suleiman I"", ""Suleiman the Lawgiver"", ""Suleiman bin Selim Khan"", ""Kanuni"", ""Sultan Süleyman"", ""Süleyman Muhtesem"", ""Süleyman the Magnificent"", ""Soliman"", ""Sulaymān"", ""Süleyman I"", ""Sultan of the Turks Süleyman I"", ""Sultan of the Turks Kanunî Süleyman"", ""Sultan of the Turks Solyman I"", ""Sultan of the Turks Solimano I"", ""Soliman le Magnifique"", ""Sultan of the Turks Kanunî"", ""Solimano il Magnifico"", ""Muhibbî"", ""Sultan of the Turks Soliman I"", ""Sultan of the Turks Kanuni"", ""Muhibbi""]",Sultan Bayezid II,False,father
In what city was Germaine Aussey born?,Paris,"[""Paris"", ""City of Light"", ""Paris, France""]",Paris,True,place of birth
Who was the composer of Rock You Like a Hurricane?,Rudolf Schenker,"[""Rudolf Schenker""]",Scorpions,False,composer
In what city was JB Magsaysay born?,San Juan,"[""San Juan""]",Manila,False,place of birth
Who was the composer of Getting to Know You?,Richard Rodgers,"[""Richard Rodgers"", ""Richard Charles Rodgers""]",Richard Rodgers,True,composer
What is Lima the capital of?,Viceroyalty of Perú,"[""Viceroyalty of Perú"", ""Viceroyalty of Peru"", ""Peru"", ""pe"", ""Republic of Peru"", ""República del Perú"", ""Republica del Peru""]",Peru,True,capital of
Who is the author of Empire and Communications?,Harold Innis,"[""Harold Innis"", ""Harold Adams Innis""]",John Kenneth Galbraith,False,author
In what country is Khabb wa ash Sha'af District?,Yemen,"[""Yemen"", ""Republic of Yemen"", ""ye"", ""Rep. Yemen"", ""YEM""]",Yemen,True,country
What is Port Elizabeth the capital of?,Sarah Baartman District Municipality,"[""Sarah Baartman District Municipality"", ""Cacadu District"", ""Cacadu Municipality"", ""Cacadu District Municipality"", ""Sarah Baartman Municipality"", ""Sarah Baartman District"", ""Nelson Mandela Bay Metropolitan Municipality"", ""Nelson Mandela Bay"", ""Nelson Mandela Bay Municipality""]",South Africa,False,capital of
Who was the director of The Interview?,Seth Rogen,"[""Seth Rogen"", ""Seth Aaron Rogen"", ""Evan Goldberg""]",Seth Rogen,True,director
What is the capital of Niger?,Niamey,"[""Niamey""]",Niamey,True,capital
Who is the author of Last Days?,Adam Nevill,"[""Adam Nevill"", ""Nevill, Adam L. G.""]",John Wyndham,False,author
In what city was Gintautas Umaras born?,Kaunas,"[""Kaunas"", ""Kovno"", ""Kovne"", ""Kovna"", ""Kowno"", ""Kauen""]",Kaunas,True,place of birth
Who was the screenwriter for Great Expectations?,David Nicholls,"[""David Nicholls"", ""David Alan Nicholls""]",Charles Dickens,False,screenwriter
Who was the composer of Time?,Rahul Raj,"[""Rahul Raj""]",John Williams,False,composer
What sport does Jim Thomas play?,basketball,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB""]",He plays golf.,False,sport
In what city was Alfredo Ramos Martínez born?,Monterrey,"[""Monterrey"", ""Monterrey, Nuevo Leon"", ""Monterrey, Mexico"", ""La sultana del norte"", ""La ciudad de las montañas""]",Mexico City,True,place of birth
